"","lens1","lens2","val","geography","unit","description","indicator"
"5561","Not Applicable","SC","1563622.09580866","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and caste category","emp_arr_pop_of_West Bengal_tgstuhm_CasteCategory"
"5562","Not Applicable","ST","135930.496807204","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and caste category","emp_arr_pop_of_West Bengal_tgstuhm_CasteCategory"
"5563","Not Applicable","Upper Caste","1375315.11138031","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and caste category","emp_arr_pop_of_West Bengal_tgstuhm_CasteCategory"
"5564","Salaried - Permanent","OBC","56222.1480445227","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and caste category","emp_arr_pop_of_West Bengal_tgstuhm_CasteCategory"
"5565","Salaried - Permanent","SC","99760.6090392943","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and caste category","emp_arr_pop_of_West Bengal_tgstuhm_CasteCategory"
"5566","Salaried - Permanent","ST","9039.65292889364","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and caste category","emp_arr_pop_of_West Bengal_tgstuhm_CasteCategory"
"5567","Salaried - Permanent","Upper Caste","110504.799824807","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and caste category","emp_arr_pop_of_West Bengal_tgstuhm_CasteCategory"
"5568","Salaried - Temporary, not on digital platform","Not Stated","9570.29717294656","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and caste category","emp_arr_pop_of_West Bengal_tgstuhm_CasteCategory"
"5569","Salaried - Temporary, not on digital platform","OBC","1889194.14411732","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and caste category","emp_arr_pop_of_West Bengal_tgstuhm_CasteCategory"
"5570","Salaried - Temporary, not on digital platform","SC","3063219.75466586","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and caste category","emp_arr_pop_of_West Bengal_tgstuhm_CasteCategory"
"5571","Salaried - Temporary, not on digital platform","ST","123977.231184083","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and caste category","emp_arr_pop_of_West Bengal_tgstuhm_CasteCategory"
"5572","Salaried - Temporary, not on digital platform","Upper Caste","2544035.36453647","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and caste category","emp_arr_pop_of_West Bengal_tgstuhm_CasteCategory"
"5573","Self-employed not on digital platform","Not Stated","7865.34332578424","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and caste category","emp_arr_pop_of_West Bengal_tgstuhm_CasteCategory"
"5574","Self-employed not on digital platform","OBC","2265673.46010101","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and caste category","emp_arr_pop_of_West Bengal_tgstuhm_CasteCategory"
"5575","Self-employed not on digital platform","SC","3495525.73331294","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and caste category","emp_arr_pop_of_West Bengal_tgstuhm_CasteCategory"
"5576","Self-employed not on digital platform","ST","48368.8507321228","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and caste category","emp_arr_pop_of_West Bengal_tgstuhm_CasteCategory"
"5577","Self-employed not on digital platform","Upper Caste","3682763.65689438","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and caste category","emp_arr_pop_of_West Bengal_tgstuhm_CasteCategory"
"5578","Daily Wage worker/ Casual labour","F","69327.8767248638","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and Gender type","emp_arr_pop_of_West Bengal_tg_gender"
"5579","Daily Wage worker/ Casual labour","M","5272011.85840281","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and Gender type","emp_arr_pop_of_West Bengal_tg_gender"
"5580","Digital platform based salaried temporary","M","16576.7802219148","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and Gender type","emp_arr_pop_of_West Bengal_tg_gender"
"5581","Digital platform based self employed","M","19469.4057567977","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and Gender type","emp_arr_pop_of_West Bengal_tg_gender"
"5582","Not Applicable","F","0","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and Gender type","emp_arr_pop_of_West Bengal_tg_gender"
"5583","Not Applicable","M","0","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and Gender type","emp_arr_pop_of_West Bengal_tg_gender"
"5584","Salaried - Permanent","F","169312.737684515","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and Gender type","emp_arr_pop_of_West Bengal_tg_gender"
"5585","Salaried - Permanent","M","106214.472153002","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and Gender type","emp_arr_pop_of_West Bengal_tg_gender"
"5586","Salaried - Temporary, not on digital platform","F","1614805.822437","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and Gender type","emp_arr_pop_of_West Bengal_tg_gender"
"5587","Salaried - Temporary, not on digital platform","M","6014088.5882664","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and Gender type","emp_arr_pop_of_West Bengal_tg_gender"
"5588","Self-employed not on digital platform","F","1352945.38667648","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and Gender type","emp_arr_pop_of_West Bengal_tg_gender"
"5589","Self-employed not on digital platform","M","5484498.3353207","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and Gender type","emp_arr_pop_of_West Bengal_tg_gender"
"5590","Daily Wage worker/ Casual labour","F","69327.8767248638","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and Gender type","emp_arr_pop_of_West Bengal_tgstuhm_gender"
"5591","Daily Wage worker/ Casual labour","M","5272011.85840281","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and Gender type","emp_arr_pop_of_West Bengal_tgstuhm_gender"
"5592","Digital platform based salaried temporary","M","16576.7802219148","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and Gender type","emp_arr_pop_of_West Bengal_tgstuhm_gender"
"5593","Digital platform based self employed","M","29559.122213059","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and Gender type","emp_arr_pop_of_West Bengal_tgstuhm_gender"
"5594","Not Applicable","F","2423914.8124667","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and Gender type","emp_arr_pop_of_West Bengal_tgstuhm_gender"
"5595","Not Applicable","M","1832432.46578066","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and Gender type","emp_arr_pop_of_West Bengal_tgstuhm_gender"
"5596","Salaried - Permanent","F","169312.737684515","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and Gender type","emp_arr_pop_of_West Bengal_tgstuhm_gender"
"5597","Salaried - Permanent","M","106214.472153002","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and Gender type","emp_arr_pop_of_West Bengal_tgstuhm_gender"
"5598","Salaried - Temporary, not on digital platform","F","1614805.822437","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and Gender type","emp_arr_pop_of_West Bengal_tgstuhm_gender"
"5599","Salaried - Temporary, not on digital platform","M","6015190.96923967","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and Gender type","emp_arr_pop_of_West Bengal_tgstuhm_gender"
"5600","Self-employed not on digital platform","F","1621191.30074817","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and Gender type","emp_arr_pop_of_West Bengal_tgstuhm_gender"
"5601","Self-employed not on digital platform","M","7879005.74361807","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers,and Gender type","emp_arr_pop_of_West Bengal_tgstuhm_gender"
"5602","Daily Wage worker/ Casual labour",NA,"5341339.73512767","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers","emp_arr_pop_of_West Bengal_tgstuhm"
"5603","Digital platform based salaried temporary",NA,"16576.7802219148","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers","emp_arr_pop_of_West Bengal_tgstuhm"
"5604","Digital platform based self employed",NA,"29559.122213059","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers","emp_arr_pop_of_West Bengal_tgstuhm"
"5605","Not Applicable",NA,"4256347.27824736","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers","emp_arr_pop_of_West Bengal_tgstuhm"
"5606","Salaried - Permanent",NA,"275527.209837518","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers","emp_arr_pop_of_West Bengal_tgstuhm"
"5607","Salaried - Temporary, not on digital platform",NA,"7629996.79167668","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers","emp_arr_pop_of_West Bengal_tgstuhm"
"5608","Self-employed not on digital platform",NA,"9500197.04436624","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers","emp_arr_pop_of_West Bengal_tgstuhm"
"5609","Daily Wage worker/ Casual labour","RURAL","4075355.87057482","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and regions","emp_arr_pop_of_West Bengal_tg_region"
"5610","Daily Wage worker/ Casual labour","URBAN","1265983.86455286","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and regions","emp_arr_pop_of_West Bengal_tg_region"
"5611","Digital platform based salaried temporary","URBAN","16576.7802219148","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and regions","emp_arr_pop_of_West Bengal_tg_region"
"5612","Digital platform based self employed","RURAL","1330.0510895277","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and regions","emp_arr_pop_of_West Bengal_tg_region"
"5613","Digital platform based self employed","URBAN","18139.35466727","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and regions","emp_arr_pop_of_West Bengal_tg_region"
"5614","Not Applicable","RURAL","0","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and regions","emp_arr_pop_of_West Bengal_tg_region"
"5615","Not Applicable","URBAN","0","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and regions","emp_arr_pop_of_West Bengal_tg_region"
"5616","Salaried - Permanent","RURAL","189707.770839772","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and regions","emp_arr_pop_of_West Bengal_tg_region"
"5617","Salaried - Permanent","URBAN","85819.4389977457","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and regions","emp_arr_pop_of_West Bengal_tg_region"
"5618","Salaried - Temporary, not on digital platform","RURAL","3883705.1944363","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and regions","emp_arr_pop_of_West Bengal_tg_region"
"5619","Salaried - Temporary, not on digital platform","URBAN","3745189.21626711","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and regions","emp_arr_pop_of_West Bengal_tg_region"
"5620","Self-employed not on digital platform","RURAL","4316732.7961028","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and regions","emp_arr_pop_of_West Bengal_tg_region"
"5621","Self-employed not on digital platform","URBAN","2520710.92589438","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and regions","emp_arr_pop_of_West Bengal_tg_region"
"5622","Daily Wage worker/ Casual labour","RURAL","4075355.87057482","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers, and regions","emp_arr_pop_of_West Bengal_tgstuhm_region"
"5623","Daily Wage worker/ Casual labour","URBAN","1265983.86455286","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers, and regions","emp_arr_pop_of_West Bengal_tgstuhm_region"
"5624","Digital platform based salaried temporary","URBAN","16576.7802219148","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers, and regions","emp_arr_pop_of_West Bengal_tgstuhm_region"
"5625","Digital platform based self employed","RURAL","9936.27897179587","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers, and regions","emp_arr_pop_of_West Bengal_tgstuhm_region"
"5626","Digital platform based self employed","URBAN","19622.8432412631","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers, and regions","emp_arr_pop_of_West Bengal_tgstuhm_region"
"5627","Not Applicable","RURAL","2628600.21642589","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers, and regions","emp_arr_pop_of_West Bengal_tgstuhm_region"
"5628","Not Applicable","URBAN","1627747.06182147","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers, and regions","emp_arr_pop_of_West Bengal_tgstuhm_region"
"5629","Salaried - Permanent","RURAL","189707.770839772","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers, and regions","emp_arr_pop_of_West Bengal_tgstuhm_region"
"5630","Salaried - Permanent","URBAN","85819.4389977457","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers, and regions","emp_arr_pop_of_West Bengal_tgstuhm_region"
"5631","Salaried - Temporary, not on digital platform","RURAL","3883705.1944363","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers, and regions","emp_arr_pop_of_West Bengal_tgstuhm_region"
"5632","Salaried - Temporary, not on digital platform","URBAN","3746291.59724038","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers, and regions","emp_arr_pop_of_West Bengal_tgstuhm_region"
"5633","Self-employed not on digital platform","RURAL","5801385.75325084","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers, and regions","emp_arr_pop_of_West Bengal_tgstuhm_region"
"5634","Self-employed not on digital platform","URBAN","3698811.2911154","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group with students and home makers, and regions","emp_arr_pop_of_West Bengal_tgstuhm_region"
"5635","Daily Wage worker/ Casual labour","Christian","5830.18564551762","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5636","Daily Wage worker/ Casual labour","Hindu","3931931.34631763","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5637","Daily Wage worker/ Casual labour","Muslim","1402248.152075","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5638","Daily Wage worker/ Casual labour","Sikh","1330.0510895277","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5639","Digital platform based salaried temporary","Hindu","16576.7802219148","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5640","Digital platform based self employed","Hindu","17985.9171828046","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5641","Digital platform based self employed","Muslim","1483.48857399312","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5642","Not Applicable","Hindu","0","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5643","Not Applicable","Muslim","0","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5644","Salaried - Permanent","Hindu","237171.327296055","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5645","Salaried - Permanent","Muslim","38355.8825414629","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5646","Salaried - Temporary, not on digital platform","Christian","34286.8233442246","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5647","Salaried - Temporary, not on digital platform","Hindu","6579085.94720381","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5648","Salaried - Temporary, not on digital platform","Muslim","1014191.58906584","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5649","Salaried - Temporary, not on digital platform","Sikh","1330.0510895277","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5650","Self-employed not on digital platform","Christian","23711.630181043","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5651","Self-employed not on digital platform","Hindu","5549012.7692131","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5652","Self-employed not on digital platform","Muslim","1264719.32260304","West Bengal","number of people","employment arrangement of  population of  West Bengal in target group and religion","emp_arr_pop_of_West Bengal_tg_religion"
"5653","Daily Wage worker/ Casual labour","Christian","5830.18564551762","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5654","Daily Wage worker/ Casual labour","Hindu","3931931.34631763","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5655","Daily Wage worker/ Casual labour","Muslim","1402248.152075","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5656","Daily Wage worker/ Casual labour","Sikh","1330.0510895277","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5657","Digital platform based salaried temporary","Hindu","16576.7802219148","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5658","Digital platform based self employed","Hindu","26592.1450650728","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5659","Digital platform based self employed","Muslim","2966.97714798624","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5660","Not Applicable","Buddhist","539.890638536919","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5661","Not Applicable","Christian","8828.03148917066","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5662","Not Applicable","Hindu","3593802.54861555","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5663","Not Applicable","Jain","825.942602230787","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5664","Not Applicable","Muslim","652350.864901875","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5665","Salaried - Permanent","Hindu","237171.327296055","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5666","Salaried - Permanent","Muslim","38355.8825414629","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5667","Salaried - Temporary, not on digital platform","Christian","34286.8233442246","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5668","Salaried - Temporary, not on digital platform","Hindu","6580188.32817709","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5669","Salaried - Temporary, not on digital platform","Muslim","1014191.58906584","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5670","Salaried - Temporary, not on digital platform","Sikh","1330.0510895277","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5671","Self-employed not on digital platform","Buddhist","4886.58771006142","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5672","Self-employed not on digital platform","Christian","28450.3528685668","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5673","Self-employed not on digital platform","Hindu","7633129.93055984","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5674","Self-employed not on digital platform","Muslim","1829614.18488775","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5675","Self-employed not on digital platform","Sikh","4115.98834001722","West Bengal","number of people","employment arrangement of population of  West Bengal in target group with students and home makers,and religion","emp_arr_pop_of_West Bengal_tgstuhm_religion"
"5676","1",NA,"100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account vs share of people not in target group and abouve 15 that have a bank account.","perc_has_bank_acc_TGvNTG_Andhra Pradesh"
"5677","0",NA,"98.8%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account vs share of people not in target group and abouve 15 that have a bank account.","perc_has_bank_acc_TGvNTG_Andhra Pradesh"
"5678","0","Not Applicable","100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_caste"
"5679","0","Not Stated","100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_caste"
"5680","1","Intermediate Caste","100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_caste"
"5681","1","Not Stated","100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_caste"
"5682","1","OBC","100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_caste"
"5683","1","SC","100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_caste"
"5684","1","ST","100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_caste"
"5685","1","Upper Caste","100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_caste"
"5686","0","Upper Caste","99.4%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_caste"
"5687","0","OBC","98.8%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_caste"
"5688","0","ST","98.8%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_caste"
"5689","0","SC","98.7%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_caste"
"5690","0","Intermediate Caste","98.5%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across castes vs share of people not in target group and abouve 15 that have a bank account across castes.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_caste"
"5691","1","F","100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across genders vs share of people not in target group and abouve 15 that have a bank account across genders.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_gender"
"5692","1","M","100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across genders vs share of people not in target group and abouve 15 that have a bank account across genders.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_gender"
"5693","0","F","99.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across genders vs share of people not in target group and abouve 15 that have a bank account across genders.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_gender"
"5694","0","M","98.4%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across genders vs share of people not in target group and abouve 15 that have a bank account across genders.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_gender"
"5695","1","RURAL","100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across regions vs share of people not in target group and abouve 15 that have a bank account across regions.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_region"
"5696","1","URBAN","100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across regions vs share of people not in target group and abouve 15 that have a bank account across regions.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_region"
"5697","0","URBAN","99.1%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across regions vs share of people not in target group and abouve 15 that have a bank account across regions.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_region"
"5698","0","RURAL","98.6%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across regions vs share of people not in target group and abouve 15 that have a bank account across regions.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_region"
"5699","0","Not Applicable","100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across religions vs share of people not in target group and abouve 15 that have a bank account across religions.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_religion"
"5700","0","Other Religion","100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across religions vs share of people not in target group and abouve 15 that have a bank account across religions.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_religion"
"5701","1","Christian","100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across religions vs share of people not in target group and abouve 15 that have a bank account across religions.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_religion"
"5702","1","Hindu","100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across religions vs share of people not in target group and abouve 15 that have a bank account across religions.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_religion"
"5703","1","Muslim","100.0%","Andhra Pradesh","Share of People","For  Andhra Pradesh , Share of people in target group that have a bank account across religions vs share of people not in target group and abouve 15 that have a bank account across religions.","perc_has_bank_acc_TGvNTG_Andhra Pradesh_religion"
